Carimbo de data/hora,status de envio do email de onboarding,Qual é a sua idade? 🌐, Qual é o seu nível de escolaridade? 🎓,Em qual bairro/cidade você mora? 🏠 (por favor bote em caps lock para fins de padronização. Ex: FORTALEZA/PRAIA DE IRACEMA),"Como você se identifica em termos de raça/etnia? (por exemplo, preta, parda, branca, indígena, etc.) ✊🏽 ",Como você se identifica em termos de gênero? 🏳‍🌈,Como você se identifica em termos de orientação sexual? 💖,Você tem filhos?  👧👦 ,"Você sempre foi da área de T.I.? Se não, qual sua área original?  💻 ",Qual sua situação profissional? 💼,"Se, atualmente, você está profissionalmente ativa, poderia nos fornecer mais detalhes? 💼","Por favor, descreva um pouco sua jornada até aqui  ✍️ 🧳 ",Você programa/já programou em Python?  🐍 , Há quanto tempo você trabalha ou estuda na área de tecnologia? ⏳,"Se você não sabe programar em Python, você tem interesse em aprender? 🐍",Como você se considera seu nível na linguagem Python? 🐍,Você trabalhou com Python em qual segmento? 💻🐍,Com quais outras tecnologias você já trabalhou?  💻,Como você conheceu a comunidade PyLadies? 🌟,Você já participou de algum evento organizado pela PyLadies Fortaleza? 🌟,O que você espera da comunidade PyLadies? 🌟,Como você pode contribuir para a comunidade? 🌟,Qual dessas áreas mais te despertam interesse? 🔍,Qual tipo de evento você mais gosta de participar? 🤝,Você se sente confortável para ministrar palestras/cursos/etc? 🤝,Sobre quais assuntos você poderia ministrar palestras/cursos/etc? 🔍,O que poderia ter na comunidade para despertar seu interesse em interagir/participar mais? 🌟,Você gostaria de participar de um programa de mentoria na comunidade PyLadies Fortaleza? 🌟,"Você fez/faz parte de alguma outra comunidade? Se sim, qual? 🔍",Você tem experiência com organização de eventos?  🔍,"Além de tecnologia, quais outros interesses você cultiva?  🎨 ","Você aceita que a PyLadies Fortaleza colete, trate e armazene seus dados fornecidos neste formulário?",Data de aniversário dd/mm - para fins fofinhos da Squad de RH  🎂 ,Formato Data (Ignorar Ano),Você autoriza a postagem comemorativa de aniversário? 👤 ,"Qual é a sua profissão atual ou área de atuação? 💼 (Exemplo: Engenheira de Software, Cientista de Dados, Engenheira de Dados, QA, UX..)",Qual é a sua faixa de renda mensal? 💰,"Se sim, há quanto tempo programa/programou em Python? 🐍",Com que frequência você participa de eventos da PyLadies? 📅, Quais são os principais desafios que você enfrenta como mulher na área de tecnologia? 🚧,Que tipo de apoio ou recursos você gostaria de ver mais na comunidade? 🤲,Você prefere trabalhar em projetos individuais ou em equipe? Por quê? 👩‍💻,"Precisa da sua autorização para guardar suas informações do formulário! 📝 Usaremos só para entender melhor vocês e planejar eventos incríveis! ✨ Promessa: seus dados ficam seguros conosco, sem compartilhamento! 🤫
Você aceita? 👍","Nos próximos eventos, tiraremos muitas fotos incríveis! 📸  Queremos compartilhar a energia boa com todos! ✨ Usaremos algumas fotos com você em posts, convites e divulgação. 😉 Você autoriza a PyLadies Fortaleza a usar sua imagem? 👍",email_hash,nome_hash,contato_hash
2025-03-25 13:55:53,Enviado,Entre 18 e 24 anos,Graduação - cursando,Maraponga,Parda,Cisgênera,Heterossexual,Não,"Não, sou da área da educação, mas migrando para a TI.",Estagiária,Estou buscando ativamente novo emprego/estágio/etc.,"Sou da área da educação, estou formando em Pedagogia. Sempre gostei da área da tecnologia, pretendo atuar na área de dados. Curso engenharia de software.",Sim,1 ano a 2 anos,Sim,Não sei definir,Não se aplica,Ainda não trabalhei ,Indicação de amiga(o),Não,ESPERO TER BOAS TROCAS COM MULHERES DA AREA,ATIVAMENTE SEMPRE QUE EU ESTIVER DISPONIVEL E TIRANDO DUVIDASCONTRIBUINDO COM AS POSSIBILIDADES QUE ESTIVEREM AO MEU ALCANCE,"Análise/Visualização de Dados, Big Data, Data Science, Desenvolvimento Web, Machine Learning, Segurança, Testes","Atividades lúdicas e recreativas, Workshops, Palestras, Tutoriais",Não,Ainda não tenho domínio em alguns assuntos,"Estudos, trocas de experiências, indicações de livros e cursos.","Sim, como mentora e mentorada","Sim, Comunidade TI Girls",Não,"🎨 (arte, representando interesses criativos), 📚 (livros, representando interesses em leitura), 🍳 (culinária, para quem gosta de cozinhar)",,18/04/2002,,Sim,Educação ,Menos de 1 salário mínino ( < 1.412),Não se aplica,,AS OPORTUNIDADES MAS HOJE ISSO TEM MUDADO BASTANTE,VAGAS INDICACOES PARA ESTUDOS ENTREVISTAS,Gostaria de ter experiências para poder responder ,"Sim, autorizo!","Sim, autorizo!",a05df89d3955db82e65bdf47fc8539e0e4e07633d53836df2270d2cfd38dc65b,db0305654a0557e7e2281e9abf607dcb7fd28107f699c89a97922171591ce57e,bf545bacb2f0614af2d330ddf0dca834074dda287dfd646baf4834715229b304
2025-09-01 14:22:50,Enviado,Entre 18 e 24 anos,Graduação - cursando,FORTALEZA/PRESIDENTE KENNEDY,Branca,Cisgênera,Heterossexual,Não,Sim,Funcionária de empresa privada (CLT/PJ),Não quero mudar de emprego/estágio/etc.,,Sim,2 a 4 anos,Não se aplica,Júnior,"Análise/Visualização de Dados, Data Science, Machine Learning, Web scrapping",,Evento,"Sim, como participante",,PALESTRAS E MENTORIAS,"Análise/Visualização de Dados, Data Science, Machine Learning",Palestras,Sim,,,"Sim, como mentora",Mulheres em dados,Sim,"🎨 (arte, representando interesses criativos), 📚 (livros, representando interesses em leitura), 🎶 (música, para interesses musicais), 🌍 (viagens, para interesses em explorar o mundo)",Sim,18/11/2000,,Sim,Cientista de dados,Entre 3 salários míninos a 7 salários míninos ( >= 4.236 e < 9.884 ),2 a 4 anos,1 evento por ano,,,,"Sim, autorizo!","Sim, autorizo!",147d4468abcbc35a06a6fe539ad97d18183757ae34d9941726d6dd54a4062360,d35f3bb2652c2a9dfb2dcacb23c3dd533cc606486fbcae8b38b0563d7e0ac435,cbe7580394b55aa759b3158676d7ba029104bf19180cdd6c3f416a9bcc7e80dd
2025-05-24 17:10:49,Enviado,Entre 25 e 30 anos,Pós Graduação Lato Sensu (Especialização/MBA/etc) - cursando,FORTALEZA/JANGURUSSU ,Prefiro não informar,Cisgênera,Heterossexual,Não,Sim,Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas",Desenvolvedora desde o nível técnico até a graduação/pós. Atuo como front end ha mais de 4 anos com React e JavaScript mas já tive experiencia em outras stacks,Não,Mais de 4 anos,Talvez,Não se aplica,Não se aplica,Tecnologias JavaScript web,"Redes Sociais (Instagram, Facebook e etc)",Não,INTERAGIR COM A COMUNIDADE TECH FEMININA NETWORKING E APRENDER MAIS SOBRE TECNOLOGIAS,,"Desenvolvimento Web, Segurança, Testes","Atividades lúdicas e recreativas, Palestras",Não,,Eventos que abranjam mais tecnologias além de python/dados,Talvez,Participei de eventos do front end ce,Não,"📚 (livros, representando interesses em leitura), 🍳 (culinária, para quem gosta de cozinhar), 🌍 (viagens, para interesses em explorar o mundo), 🧘‍♀️ (bem-estar, para práticas como yoga)",,22/07,,Sim,Desenvolvedora front end,Entre 3 salários míninos a 7 salários míninos ( >= 4.236 e < 9.884 ),Não se aplica,1 evento por ano,ENFRENTAR UM AMBIENTE EM MAIORIA MASCULINO E QUE O FOCO MAIOR E ESSE E TAMBEM O DE MINIMIZAR A AREA DE FRONT,APOIO DA COMUNIDADE FEMININA ATRAVES DE PALESTRAS MOMENTOS EVENTOS ETC,Em equipe. Acho que equipes multidisciplinares atendem e entregam melhor,"Sim, autorizo!","Sim, autorizo!",b9a73c64fe8f481f6353f8c5a4404e44480404f4a0aed451dbb9cb056909a39c,0739f955c983edb2a961e0fa58bce0a415e4ae1a8d943f63f963426af1fa930f,90c78669b33a19831a418a99edb35f7ff61de69a83eb5d5babf5ca5db8fc2b8a
2025-10-01 09:06:36,Enviado,Entre 31 e 40 anos,Graduação - cursando,FORTALEZA/JANGURUSSU ,Parda,Cisgênera,Heterossexual,Não,Era da área de vendas,Não trabalho e estou buscando um emprego/estágio,Não se aplica,"Ja me formei em ciências contábeis, mas nunca atuei na área, trabalhei na área de vendas por mais de 10 anos em empresas de tecnologia. Ja havia estudado programação antes, mas voltei mais fortemente em 2024. Por não suportar mais atuar em vendas e estar adoecendo com isso saí do emprego e estou apenas estudando para fazer a mudança de profissão ",Não,1 ano a 2 anos,Sim,Não se aplica,Não se aplica,"JS, C, HTML, CSS",Evento,Não,PODER CONHECER MULHERES QUE ATUAM NA AREA ENTENDER MAIS SOBRE OS DESAFIOS E COMEMORAR AS CONQUISTAS ME SENTIR PARTE E ACOLHIDA NO UNIVERSO DE TECNOLOGIA,POSSO SER VOLUNTARIA EM EVENTOS CASO TENHA ALGUM PROJETO QUE EU CONSIGA AUXILIAR MESMO COM POUCO CONHECIMENTO,"Desenvolvimento Web, IoT","Palestras, Tutoriais",Não,Não se aplica ,"Acho a comunidade muito atraente, talvez algo para conhecer mais as participantes ","Sim, como mentorada",Não ,Não,"📚 (livros, representando interesses em leitura), 🍳 (culinária, para quem gosta de cozinhar), 🌍 (viagens, para interesses em explorar o mundo)",,28/09,,Sim,Estudante,Menos de 1 salário mínino ( < 1.412),Não se aplica,Entre 1 a 3 eventos por ano,NAO TENHO COMO OPINAR AINDA MEU MAIOR DESAFIO E A FALTA DE EXPERIENCIA MAS NAO ACHO QUE SEJA POR SER MULHER ACREDITO QUE PARA QUALQUER GENERO NAO TER EXPERIENCIA GERA UMA BARREIRA,NAO SEI INFORMAR,"Equipe, pois ajuda no compartilhamento de idéias ","Sim, autorizo!","Sim, autorizo!",112967fe98ed6ceb888c609221c01d672c02391668ee5ce5124176455a472170,c8cdb105776b28d34bb54d43c45a4d9c41bc5adbccdaed69e33745c93ac7e39c,1495343f4ba9bccad33e714326129a44008670731e3cd51290f22498280271a6
2024-12-19 13:56:48,Enviado,Entre 31 e 40 anos,Pós-Graduação Stricto Sensu (Mestrado/Doutorado/Pós-Doutorado) - concluído,CIDADE DOS FUNCIONÁRIOS ,Branca,Cisgênera,Heterossexual,Não,Fisioterapia,Não trabalho e estou buscando um emprego/estágio,Estou buscando ativamente novo emprego/estágio/etc.,"Sou uma mulher me reenventando na tecnologia com uma enorme experiência na área de saúde que resolveu seguir pela ciências de dados, mas que também gosta de desenvolver com código.",Sim,2 a 4 anos,Não se aplica,Pleno,"Análise/Visualização de Dados, Big Data, Data Science, Desenvolvimento Web, Machine Learning","SQL, power BI",Indicação de amiga(o),"Sim, como participante",QUE NOS POSSAMOS NOS AJUDAR MUTUAMENTE FORTALECENDO E AMPLIANDO A IDEIA DA MULHER PIONEIRA DA SUA VIDA E IDEALIZADORA DOS SEUS PROPRIOS CAMINHOS,AJUDANDO OUTRAS MULHERES A CONTINUAR NA JORNADA DA TECNOLOGIA,"Análise/Visualização de Dados, Big Data, Data Science, Desenvolvimento Web, Machine Learning","Workshops, Palestras, Tutoriais",Não,,Nada. Nós já somos perfeitas!,Talvez,Não ,Não,"🌍 (viagens, para interesses em explorar o mundo)",,04/03,,Sim,Cientista de dados,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),2 a 4 anos,Entre 1 a 3 eventos por ano,TER QUE CONSTANTEMENTE PROVAR QUE EU SOU TAMBEM POSSO SER BOA NO QUE FACO MESMO SENDO MULHER,TALVEZ SE A COMUNIDADE BUSCASSE MOSTRAR O TRABALHO QUE VEM SENDO FEITO COM OUTRAS MULHERES PODERIA SER UMA REFERENCIA ONDE EMPRESAS POSSAM IR BUSCAR PROFISSIONAIS,Tanto faz. ,"Sim, autorizo!","Sim, autorizo!",1323fd6fdf148c0893d253b399d2075cd14225bdd0553611c266649bbb0587fe,4ab68ef16ca1cd96e52541e025a8cb56ae5e21f896b99bab7a863c196c7b6127,a03a772b0571f0a9b166e4d46188c41debb0e358266ba5571f2613d305cad24c
2025-01-24 00:10:16,Enviado,Entre 31 e 40 anos,Pós-Graduação Stricto Sensu (Mestrado/Doutorado/Pós-Doutorado) - concluído,CASTELÃO,Preta,Cisgênera,Heterossexual,Não,ADMINISTRAÇÃO,Funcionária de empresa pública (concursada),Não quero mudar de emprego/estágio/etc.,SÓ QUERO VER DO QUE SE TRATA O WORKSHOP,Não,Não se aplica,Talvez,Não se aplica,Não se aplica,NENHUMA,SYMPLA,Não,NAO SEI,SENDO APRENDIZ,"Análise/Visualização de Dados, Big Data, Data Science","Workshops, Palestras, Tutoriais",Não,NENHUM,DEMONSTRAÇÕES,Não,NÃO,Não,"📚 (livros, representando interesses em leitura), 🎶 (música, para interesses musicais), 🍳 (culinária, para quem gosta de cozinhar), 🌍 (viagens, para interesses em explorar o mundo)",,1804,,Não,ANALISTA ADMINISTRATIVA,Acima de 7 salários míninos ( >= 9.884 ),Não se aplica,1 evento por ano,NAO SOU DA AREA,NAO SEI,Individuais porque termina logo e não precisa ceder a vontade do outro.,"Sim, autorizo!","Sim, autorizo!",6d167c5f0beb961a572611e04eb9f5cbfcd2fa2a606dcad484dfd30e042453ba,71fb34cbcc6c231da3c8569efeba2421f538c7c28bd64c98be62a44a1b175034,99995ec309c75f9a5d34f741ba3b916e1a57698a3dbde0bd01c4add6c2f87bdb
2025-01-22 13:59:07,Enviado,Entre 18 e 24 anos,Graduação - cursando,FORTALEZA/BENFICA,Parda,Cisgênera,Assexual,Não,"Não, minha área original era eletromecânica",Não trabalho e estou buscando um emprego/estágio,Estou buscando ativamente novo emprego/estágio/etc.,,Sim,2 a 4 anos,Não se aplica,Júnior,"Análise/Visualização de Dados, Desenvolvimento Web",,Evento,Não,,,"Análise/Visualização de Dados, Data Science","Workshops, Palestras","Sim, tendo apoio e divindindo espaço da apresentação com outra pessoa",,,"Sim, como mentora e mentorada",Não participei ainda,Não,,,08/11,,Não,Minha área de atuação é ciência de dados.,Menos de 1 salário mínino ( < 1.412),2 a 4 anos,,,,,"Sim, autorizo!","Sim, autorizo!",62e88bcf860fe29fcdc0d0fa4fb8968723fae7212592f2149e1f7b56911096f1,abbd16578e5313406e848c6e990151483ae9668d3c32917de6819346ffbc91ee,041e5106910a7c63e98970d3978c0436ba16ba82705eb938b6b8d6584aba04c1
2025-09-05 20:50:10,Enviado,Entre 31 e 40 anos,Graduação - concluído,SÃO CRISTÓVÃO ,Parda,Cisgênera,Bissexual,Não,Administrativo ,Empreendedor(a),Estou buscando ativamente novo emprego/estágio/etc.,"Estou em transição de carreira, minha formação inicial é em administração, iniciei uma faculdade em análise e desenvolvimento de sistemas, onde busco migrar para o segmento de QA. ",Sim,1 ano a 2 anos,Não se aplica,Júnior,Análise/Visualização de Dados,"SQL, Power bi, html, css","Redes Sociais (Instagram, Facebook e etc)",Não,TROCA DE EXPERIENCIAS E OPORTUNIDADES,PRETENDO SER VOLUNTARIA PARTICIPAR DOS EVENTOS E APRENDER BASTANTE COM TODAS,"Desenvolvimento Web, Machine Learning, Testes","Atividades lúdicas e recreativas, Workshops",Talvez,Sobre os desafios de uma transição de carreira depois dos 30. ,Encontros on-line.,"Sim, como mentorada",Sim.,Sim,"🎨 (arte, representando interesses criativos), 🎶 (música, para interesses musicais), 🍳 (culinária, para quem gosta de cozinhar), 🎮 (jogos, para quem curte videogames)",,10/02/1993,,Sim,QA,Entre 3 salários míninos a 7 salários míninos ( >= 4.236 e < 9.884 ),1 ano a 2 anos,Entre 3 a 5 eventos por ano,RECONHECIMENTO E DESIGUALDADE SALARIAL,PROJETOS DE BOOTCAMP,"Em equipe. Gosto de trocar ideias, onde consigo evoluir profissionalmente e humanamente também.","Sim, autorizo!","Sim, autorizo!",8d13b5f2937e02f30fce8612e59a589ad2ab311c054398ec0af677926339abd6,666e13c7998ccec52c53f71c16c1e044d03fb6addb7605eaf5b7268a62d1c428,2ec35432968c23ef8245490db03d639f5cd401e2010ad5bb715d3880a2744678
2024-12-25 17:29:04,Enviado,Menor de 18 anos,Ensino Médio/Técnico (cursando ou concluído),DOM LUSTOSA/FORTALEZA,Branca,Cisgênera,Heterossexual,Não,"Sim, sempre fui.",Bolsista de instituição acadêmica,Estou buscando ativamente novo emprego/estágio/etc.,"Ingressei no mundo da tecnologia quando passei no IFCE para o curso técnico integrado em informática, onde tive contato com programação e, atualmente, gestão de projetos/empresas/pessoas. Tenho colocado em prática todo esse conhecimento, buscando aprendizado e network nos laboratórios da instituição. ",Sim,2 a 4 anos,Sim,Não sei definir,"Análise/Visualização de Dados, Data Science, Machine Learning","JavaScript, HTML/CSS, swift, dart, flutterflow, kotlin, react...","Evento, Mandaram no grupo da sala que iria acontecer o meetup das pyladies e fiquei interessada na comunidade","Sim, como organizadora, Sim, como participante, Apresentei ""quem é/o que é o pyladies"" no django girls",QUE DISSEMINE CONHECIMENTO E PRINCIPALMENTE ACOLHA TODAS AS MULHERES QUE DESEJAM SEGUIR CARREIRA NA AREA DA TECNOLOGIA,DIVULGANDO APOIANDO PARTICIPANDO AJUDANDO NOS PROJETOSEVENTOS COLOCADOS EM PAUTA,"Desenvolvimento Web, IoT, Machine Learning","Atividades lúdicas e recreativas, Workshops, Palestras","Sim, tendo apoio e divindindo espaço da apresentação com outra pessoa",,,"Sim, como mentorada","Não faço parte, estou conhecendo outras no momento",Sim,"🎨 (arte, representando interesses criativos), 📚 (livros, representando interesses em leitura), ⚽ (futebol, representando interesses esportivos), 🎶 (música, para interesses musicais), 🍳 (culinária, para quem gosta de cozinhar), 🌍 (viagens, para interesses em explorar o mundo), 🧘‍♀️ (bem-estar, para práticas como yoga)",,28/12,,Sim,Desenvolvedora de Software/Programadora e TDD,Menos de 1 salário mínino ( < 1.412),2 a 4 anos,Entre 3 a 5 eventos por ano,AMBIENTE COM A GRANDE MAIORIA SENDO HOMENS ME SINTO MEIO DESLOCADA E DESCONFORTAVEL QUANDO ACONTECE,,"Equipe, porque acredito que podemos chegar longe com união e parceria.","Sim, autorizo!","Sim, autorizo!",f27d1cfe4c6f5b319936220f2f20f10e4b9d418027e5060168ec785446ef9965,a2e6f06f861480b2cf2317192abad11fe426bbaafd09e22654b1f51a5a037656,612e156176993f807a08116e469fe55a5daf60395d70ffd113212f2fde9e5d7b
2025-08-03 23:04:02,Enviado,Entre 25 e 30 anos,Pós-Graduação Stricto Sensu (Mestrado/Doutorado/Pós-Doutorado) - cursando,Mucunã - maracanaú ,Parda,Não-binária,Bissexual,Não,não. sou formada em redes de computadores e relações internacionais ,Bolsista de instituição acadêmica,Estou buscando ativamente novo emprego/estágio/etc.,,Não,Mais de 4 anos,Talvez,Não se aplica,Não se aplica,,Indicação de amiga(o),Não,,,"Análise/Visualização de Dados, Big Data, Data Science, Machine Learning","Workshops, Palestras",Sim,,,Talvez,não faço parte,Sim,"🎨 (arte, representando interesses criativos), 🎶 (música, para interesses musicais), 🌍 (viagens, para interesses em explorar o mundo)",,09/02/2000,,Sim,,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),Não se aplica,,,,,"Sim, autorizo!","Sim, autorizo!",a74be2d1bdd7b20d9f0223f5cca3b9304faea866e2fcc5d662b4e4539d22795b,2ad206dd71719102d33555e26fb60dc6195d703c15e6d4044aa1ab0be6661b6f,6212bd14511dff0a9124f570b063837e3a87b91bbf2268c05aeeed5ce5490274
2025-03-04 12:15:38,Enviado,Entre 18 e 24 anos,Graduação - cursando,MANOEL SÁTIRO/ FORTALEZA,Parda,Cisgênera,Bissexual,Não,"Não, Oceanografia ",Freelancer,"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas","Comecei a me interessar por programação por conta da faculdade, tive disciplinas em que usamos softwares como Matlab, R, Qgis, Google Colab, e após o fim das disciplinas, continuei com o estudo. Hoje, meu TCC utiliza análise de dados de satélite com programação Python ",Sim,1 ano a 2 anos,Sim,Júnior,"Análise/Visualização de Dados, Data Science","Acredito que nenhuma, sei coisas básicas de outras linguagens como C (pelo Matlab) e R.",Indicação de amiga(o),Não,UM LOCAL DE ACOLHIMENTO EM UM MUNDO QUE A PROGRAMACAO AUTOMATICAMENTE E RELACIONADA AO MUNDO MASCULINO,ACREDITO QUE SEI POUCO MAS O POUCO QUE SEI POSSO E QUERO COMPARTILHAR ALEM DA PROGRAMACAO TAMBEM TENHO OUTRAS VIVENCIAS QUE POSSO VIR A COMPARTILHAR,"Análise/Visualização de Dados, Big Data, Data Science, Machine Learning","Atividades lúdicas e recreativas, Workshops, Palestras, Tutoriais",Não,"Como utilizar dados fornecidos por satélites, ou qualquer coisa que relacione com Oceanografia, como utilizar os dados de satélite para saber a temperatura do mar, também há assuntos fora da programação que posso mencionar futuramente ",Mais informação compartilhada de uma maneira menos “engessada”,"Sim, como mentorada",Não ,Sim,"🎨 (arte, representando interesses criativos), 🌍 (viagens, para interesses em explorar o mundo)",,05/06/2002,,Sim,"Graduanda de Oceanografia, afinidade com a área Data Science/ Análise de dados",Menos de 1 salário mínino ( < 1.412),1 ano a 2 anos,"Todos, não falto um, fã de carteirinha PYLADIES TE AMO",TER VERGONHA DE COMUNICAR QUANDO NAO SEI FAZER ALGO SEMPRE TENTO RESOLVER SOZINHA MAS NEM SEMPRE DA CERTO,,"Atualmente individual, pois ainda não trabalhei em equipe","Sim, autorizo!","Sim, autorizo!",6c6becbab60809dcc6acd1a605366b8bf39690479b66a4ac2f6a914fdee221f4,022fe56b3536971b91640ae8bb3701d12df856cddf0f7e705c8fb04672a12552,3c8419118a148a4a66ecc3b556fa381cefb5d6475b68bd44fddf198387765ca4
2025-07-01 12:06:00,Enviado,Entre 31 e 40 anos,Pós Graduação Lato Sensu (Especialização/MBA/etc) - cursando,FORTALEZA/PAUPINA,Parda,Cisgênera,Heterossexual,Não,"Sim, sempre fui.",Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas","Iniciei na área como tester de software, e após a segunda graduação na área de TI ingressei no mercado como desenvolvedora. Atualmente trabalho com Java a uns 5 anos ",Não,Mais de 4 anos,Sim,Júnior,Não se aplica,Java,"Redes Sociais (Instagram, Facebook e etc)","Sim, como participante",QUE MAIS MULHER CONSIGAM ENCONTRAR A COMUNIDADE,PARTICIPANDO DO EVENTOS DAS ORGANIZACOES,"Data Science, Desenvolvimento Web","Workshops, Palestras",Não,,,"Sim, como mentorada",Não,Não,"🎨 (arte, representando interesses criativos), 🎶 (música, para interesses musicais), 🌍 (viagens, para interesses em explorar o mundo), 🧘‍♀️ (bem-estar, para práticas como yoga)",,13/01,,Sim,Engenharia de software ,Acima de 7 salários míninos ( >= 9.884 ),Não se aplica,Entre 1 a 3 eventos por ano,MOSTRAR QUE SOU CAPAZ,,"Em equipe, pois aprendo e ensino ao mesmo tempo","Sim, autorizo!","Sim, autorizo!",6b4e6455595312f3656fbef96a457fd482efb412effe9248eec9a2fabc9f7642,1acebbe7c57f9d66ba62ce93b7a2f3d33a43b7595b54b42875faa2e778a2d60a,9c359e8d19f991b2019ea09808c81c3fb57c353f6c11025bcdc1611761ff6c11
2025-07-05 14:16:59,Enviado,Entre 18 e 24 anos,Graduação - cursando,CAUCAIA/PADRE ROMUALDO,Parda,Cisgênera,Heterossexual,Não,"Sim, estou no primeiro semestre de ciência de dados ufc","Não trabalho, mas não estou buscando um emprego/estágio",Não se aplica,"Brinquei um pouco com python antes de entrar na universidade mas agora estou vendo nas cadeiras, apesar de fazer ciência de dados prefiro a parte da programação ",Não,Não se aplica,Sim,Não se aplica,Não se aplica,,Indicação de amiga(o),Não,APOIO FEMININO,MOSTRANDO MINHA REALIDADE PARA OUTRAS MENINAS QUE SE INTERESSEM NA AREA DE TI,"Big Data, Machine Learning",Palestras,Não,,Enquetes ,Não,Não faço parte de nenhuma ,Não,"📚 (livros, representando interesses em leitura), 🎶 (música, para interesses musicais), 🧘‍♀️ (bem-estar, para práticas como yoga)",,03/11,,Não,Nunca trabalhei na área ,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),Não se aplica,,A FALTA DE REPRESENTACAO,,"Individuais, pois me considero lenta e não quero atrapalhar os outros participantes ","Sim, autorizo!","Sim, autorizo!",9f393681caeab6f00af8364d62b7d53946115a163756da0e1b32421301c45830,ee28bc0a2220e23ed4834bbc1a1035b5458105e7bc1b61b373fe15df0d718b2b,67e72063d81b641b34204977feabd163cf7cf269ef050fe71f73b3e002251002
2025-01-27 14:30:44,Enviado,Entre 31 e 40 anos,Graduação - cursando,FORTALEZA/BENFICA,Branca,Cisgênera,Heterossexual,Sim e compartilho a responsabilidade sobre eles com outras pessoas,"Não, migrei da educação para TI",Funcionária de empresa privada (CLT/PJ),Não quero mudar de emprego/estágio/etc.,"Fiz migração de carreira aos 27 anos deixando de lado a carreira de professora para ser desenvolvedora, hoje estou muito bem na área como desenvolvedora pleno.",Sim,Mais de 4 anos,Sim,Júnior,Desenvolvimento Web,"C#, sql, javascript",Indicação de amiga(o),Não,MUITO NETWORK APOIO DE UMA COMUNIDADE INCENTIVO PARA CRESCIMENTO,COM CONTEUDO E PARTICIPACOES,"Desenvolvimento Web, Segurança","Atividades lúdicas e recreativas, Workshops, Palestras, Tutoriais",Sim,"Soft skills de liderança, comunicação e também aulas técnicas ",Encontros participativos,"Sim, como mentora e mentorada",Não ,Não,"📚 (livros, representando interesses em leitura), 🌍 (viagens, para interesses em explorar o mundo)",,13/04/1993,,Sim,Desenvolvedora de software ,Entre 3 salários míninos a 7 salários míninos ( >= 4.236 e < 9.884 ),1 ano a 2 anos,,A FALTA DE CONFIANCA NA TECNICA,ENCONTROS TAMBEM DE ACOLHIMENTO,"Em equipes, gosto do clima e aprendo sempre com pessoas","Sim, autorizo!","Sim, autorizo!",af95a64f96fd4770469a8f78c633d302ceb378bbe28e94b1945b1af61855dc02,c3ebb9a43bb67bf9d56d042444890c8385323d7277df977db0e76350af5937f6,b0609914d69b29535469dc7eaae5af6c1332a2f49dc79a6aaa7eceedafb1057b
2025-03-13 13:31:34,Enviado,Entre 18 e 24 anos,Graduação - cursando,FORTALEZA/PAPICU,Parda,Cisgênera,Bissexual,Não,"Minha área era a Engenharia Civil, porém, desejo mudar para T.I.",Funcionária de empresa privada (CLT/PJ),Estou buscando ativamente novo emprego/estágio/etc.,,Não,Mais de 4 anos,Sim,Não se aplica,Não se aplica,,Indicação de amiga(o),Não,EU ESPERO INTERAGIR UM POUCO MAIS E ME ENCONTRAR NA AREA DA TI O QUE NAO ENCONTREI NA AREA DA ENGENHARIA CIVIL,,"Desenvolvimento Web, IoT, Jogos, Segurança, Testes","Atividades lúdicas e recreativas, Workshops, Palestras, Tutoriais",Não,,,"Sim, como mentorada",Não,Não,"🎶 (música, para interesses musicais), 🍳 (culinária, para quem gosta de cozinhar), 🌍 (viagens, para interesses em explorar o mundo), 🎮 (jogos, para quem curte videogames)",,01/11,,Sim,Engenharia Civil,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),Não se aplica,,UM DOS PRINCIPAIS DESAFIOS QUE ENFRENTO COMO MULHER NA AREA DE TECNOLOGIA E A BAIXA REPRESENTATIVIDADE FEMININA EMBORA O SETOR ESTEJA EVOLUINDO AINDA HA UMA PREDOMINANCIA MASCULINA O QUE PODE GERAR AMBIENTES POUCO DIVERSOS E AS VEZES DIFICULTAR A INCLUSAO ALEM DISSO MULHERES FREQUENTEMENTE PRECISAM PROVAR SUA COMPETENCIA MAIS DO QUE SEUS COLEGAS HOMENS ESPECIALMENTE EM AREAS TECNICAS,,Eu prefiro os dois,"Sim, autorizo!","Sim, autorizo!",27e05a9f683ee302b425182488c4b2ef63f709ef70c7776ab03f6a55a9c404ce,2d39616a6c1f0ea7bf4cc82fd2fc4b3ef00f6a744f23dd9e991fb25fde75b1df,dfdc590dac5cc1f14937e8df0774f0586ba9581aa5d30c9e813c2b92a5d3a76d
